year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	PowerSystemResourceName	ProductionTypeName	ActualGenerationOutput	ActualConsumption	InstalledGenCapacity	SubmissionTS
2016	1	14	2016-01-14 07:00:00.000	CTA	Elia CA	BE	DOEL 2	Nuclear 	460.500000	0.000000	433.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 00:00:00.000	CTA	Elia CA	BE	Belwind Phase 1	Wind Offshore 	116.562500	0.000000	171.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 01:00:00.000	CTA	Elia CA	BE	DROGENBOS ST	Fossil Gas 	0.000000	0.000000	165.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 00:00:00.000	CTA	Elia CA	BE	HERDERSBRUG GT1	Fossil Gas 	0.000000	0.000000	150.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 07:00:00.000	CTA	Elia CA	BE	COO 2 T	Hydro Pumped Storage 	0.000000	0.000000	158.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 06:00:00.000	CTA	Elia CA	BE	DOEL 4	Nuclear 	1087.750000	0.000000	1038.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 01:00:00.000	CTA	Elia CA	BE	Thorntonbank - C-Power - Area NE	Wind Offshore 	129.257500	0.000000	147.60	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	DOEL 4	Nuclear 	1088.250000	0.000000	1038.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 00:00:00.000	CTA	Elia CA	BE	DROGENBOS GT1	Fossil Gas 	0.000000	0.000000	150.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	Amercoeur 1 R GT	Fossil Gas 	134.465000	0.000000	289.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	Zandvliet Power	Fossil Gas 	214.540000	0.000000	384.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	DOEL 4	Nuclear 	1087.750000	0.000000	1038.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 22:00:00.000	CTA	Elia CA	BE	Thorntonbank - C-Power - Area NE	Wind Offshore 	133.032500	0.000000	147.60	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	LANGERLO 2	Fossil Hard coal 	212.750000	0.000000	235.00	2016-01-16 22:50:32.000
2016	1	14	2016-01-14 01:00:00.000	CTA	Elia CA	BE	RODENHUIZE 4	Biomass 	203.600000	0.000000	268.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 01:00:00.000	CTA	Elia CA	BE	Belwind Phase 1	Wind Offshore 	152.067500	0.000000	171.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	Amercoeur 1 R GT	Fossil Gas 	287.975000	0.000000	289.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 08:00:00.000	CTA	Elia CA	BE	Zandvliet Power	Fossil Gas 	374.182500	0.000000	384.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 10:00:00.000	CTA	Elia CA	BE	COO 2 T	Hydro Pumped Storage 	91.840000	0.000000	158.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 21:00:00.000	CTA	Elia CA	BE	DROGENBOS GT2	Fossil Gas 	0.000000	0.000000	150.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	TIHANGE 3	Nuclear 	1043.607500	0.000000	1045.80	2016-02-29 23:25:31.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	COO 5 T	Hydro Pumped Storage 	0.000000	0.000000	230.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Amercoeur 1 R ST	Fossil Gas 	137.200000	0.000000	162.00	2016-02-29 23:25:31.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	INESCO WKK	Fossil Gas 	103.200000	0.000000	138.00	2016-12-09 17:00:44.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	INESCO WKK	Fossil Gas 	101.200000	0.000000	138.00	2016-12-09 17:00:44.000
2016	1	14	2016-01-14 07:00:00.000	CTA	Elia CA	BE	Thorntonbank - C-Power - Area SW	Wind Offshore 	139.422500	0.000000	177.60	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	COO 5 T	Hydro Pumped Storage 	0.000000	0.000000	230.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	COO 1 T	Hydro Pumped Storage 	0.000000	0.000000	158.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	DOEL 3	Nuclear 	1066.750000	0.000000	1006.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	Scheldelaan Exxonmobil	Fossil Gas 	106.852500	0.000000	140.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Zelzate 2 Knippegroen	Fossil Gas 	243.387500	0.000000	315.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 09:00:00.000	CTA	Elia CA	BE	PLATE TAILLE T	Hydro Pumped Storage 	90.907500	0.000000	144.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 07:00:00.000	CTA	Elia CA	BE	COO 4 T	Hydro Pumped Storage 	0.000000	0.000000	230.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	COO 2 T	Hydro Pumped Storage 	0.000000	0.000000	158.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 08:00:00.000	CTA	Elia CA	BE	HERDERSBRUG GT1	Fossil Gas 	134.120000	0.000000	150.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 10:00:00.000	CTA	Elia CA	BE	COO 4 T	Hydro Pumped Storage 	0.000000	0.000000	230.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Belwind Phase 1	Wind Offshore 	156.015000	0.000000	171.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 16:00:00.000	CTA	Elia CA	BE	COO 1 T	Hydro Pumped Storage 	79.540000	0.000000	158.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	DOEL 3	Nuclear 	1064.750000	0.000000	1006.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 21:00:00.000	CTA	Elia CA	BE	Scheldelaan Exxonmobil	Fossil Gas 	125.945000	0.000000	140.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 14:00:00.000	CTA	Elia CA	BE	COO 3 T	Hydro Pumped Storage 	0.000000	0.000000	158.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 04:00:00.000	CTA	Elia CA	BE	COO 6 T	Hydro Pumped Storage 	0.000000	0.000000	230.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 04:00:00.000	CTA	Elia CA	BE	Belwind Phase 1	Wind Offshore 	140.030000	0.000000	171.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 04:00:00.000	CTA	Elia CA	BE	HERDERSBRUG GT1	Fossil Gas 	73.640000	0.000000	150.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	DOEL 1	Nuclear 	451.700000	0.000000	433.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	PLATE TAILLE T	Hydro Pumped Storage 	0.000000	0.000000	144.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 04:00:00.000	CTA	Elia CA	BE	RODENHUIZE 4	Biomass 	122.100000	0.000000	268.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	DOEL 3	Nuclear 	1063.750000	0.000000	1006.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Zandvliet Power	Fossil Gas 	125.655000	0.000000	384.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 12:00:00.000	CTA	Elia CA	BE	HERDERSBRUG ST	Fossil Gas 	112.840000	0.000000	165.00	2016-02-28 23:25:46.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	DOEL 2	Nuclear 	460.500000	0.000000	433.00	2016-02-28 23:25:46.000
