year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	AggregatedInstalledCapacity	SubmissionTS
2016	1	1	2016-01-01 00:00:00.000	BZN	MAVIR BZ	HU	Wind Onshore 	328.25	2016-07-15 08:09:42.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Hungary	HU	Wind Onshore 	328.25	2016-07-15 08:09:42.000
2016	1	1	2016-01-01 00:00:00.000	BZN	TenneT NL BZ	NL	Biomass 	398.00	2016-07-15 08:10:31.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Netherlands	NL	Biomass 	398.00	2016-07-15 08:10:31.000
2016	1	1	2016-01-01 00:00:00.000	BZN	TenneT NL BZ	NL	Fossil Peat 	0.00	2016-07-15 08:10:38.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Austria	AT	Other 	22.80	2016-12-21 09:29:30.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Energinet CA	DK	Hydro Run-of-river and poundage 	9.00	2016-07-15 08:05:01.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Energinet CA	DK	Fossil Oil 	1051.00	2016-07-15 08:05:01.000
2016	1	1	2016-01-01 00:00:00.000	CTA	50Hertz CA	DE_50HzT	Hydro Run-of-river and poundage 	155.00	2017-08-31 12:44:34.000
2016	1	1	2016-01-01 00:00:00.000	BZN	NO4 BZ	NO4	Fossil Gas 	270.20	2017-03-09 15:31:40.000
2016	1	1	2016-01-01 00:00:00.000	BZN	NO4 BZ	NO4	Hydro Run-of-river and poundage 	14.90	2017-03-09 15:31:40.000
2016	1	1	2016-01-01 00:00:00.000	BZN	NO4 BZ	NO4	Wind Onshore 	250.80	2017-03-09 15:31:40.000
2016	1	1	2016-01-01 00:00:00.000	BZN	NO4 BZ	NO4	Hydro Water Reservoir 	4705.00	2017-03-09 15:31:40.000
2016	1	1	2016-01-01 00:00:00.000	BZN	NO4 BZ	NO4	Other 	0.00	2017-03-09 15:31:40.000
2016	1	1	2016-01-01 00:00:00.000	BZN	IPTO BZ	GR	Biomass 	51.00	2016-10-03 07:02:44.000
2016	1	1	2016-01-01 00:00:00.000	BZN	IPTO BZ	GR	Geothermal 	0.00	2016-10-03 07:02:44.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Greece	GR	Biomass 	51.00	2016-10-03 07:02:44.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Greece	GR	Geothermal 	0.00	2016-10-03 07:02:44.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Coal-derived gas 	0.00	2017-09-25 12:00:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Montenegro	ME	Fossil Hard coal 	210.00	2016-07-15 08:06:44.000
2016	1	1	2016-01-01 00:00:00.000	BZN	CGES BZ	ME	Fossil Hard coal 	210.00	2016-07-15 08:06:44.000
2016	1	1	2016-01-01 00:00:00.000	BZN	swissgrid BZ	CH	Nuclear 	3375.00	2016-07-15 08:07:19.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Switzerland	CH	Nuclear 	3375.00	2016-07-15 08:07:19.000
2016	1	1	2016-01-01 00:00:00.000	BZN	REE BZ	ES	Biomass 	704.50	2016-07-15 08:08:42.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Spain	ES	Biomass 	704.50	2016-07-15 08:08:42.000
2016	1	1	2016-01-01 00:00:00.000	BZN	REE BZ	ES	Fossil Oil shale 	0.00	2016-07-15 08:08:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Spain	ES	Fossil Oil shale 	0.00	2016-07-15 08:08:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Finland	FI	Biomass 	1534.00	2016-07-15 08:08:59.000
2016	1	1	2016-01-01 00:00:00.000	BZN	REE BZ	ES	Other 	102.60	2016-07-15 08:08:59.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Spain	ES	Other 	102.60	2016-07-15 08:08:59.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Fingrid BZ	FI	Biomass 	1534.00	2016-07-15 08:08:59.000
2016	1	1	2016-01-01 00:00:00.000	BZN	MAVIR BZ	HU	Fossil Gas 	4124.46	2016-07-15 08:09:37.000
2016	1	1	2016-01-01 00:00:00.000	BZN	MAVIR BZ	HU	Fossil Brown coal/Lignite 	1006.53	2016-07-15 08:09:37.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Hungary	HU	Fossil Brown coal/Lignite 	1006.53	2016-07-15 08:09:37.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Hungary	HU	Fossil Gas 	4124.46	2016-07-15 08:09:37.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Lithuania	LT	Wind Onshore 	366.00	2016-07-15 08:10:04.000
