year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	ActualConsumption	ActualGenerationOutput	SubmissionTS
2016	1	29	2016-01-29 14:00:00.000	BZN	RTE BZ	FR	Waste 	0.000000	82.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	0.000000	279.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	0.000000	4878.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 16:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	0.000000	1648.000000	2016-01-30 00:29:23.000
2016	1	29	2016-01-29 12:00:00.000	BZN	RTE BZ	FR	Fossil Hard coal 	0.000000	1011.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 10:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	0.000000	1495.000000	2016-01-30 00:29:23.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	0.000000	1193.000000	2016-01-30 00:29:23.000
2016	1	29	2016-01-29 10:00:00.000	BZN	RTE BZ	FR	Fossil Hard coal 	0.000000	1063.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Fossil Hard coal 	0.000000	1012.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 16:00:00.000	BZN	RTE BZ	FR	Wind Onshore 	0.000000	4985.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 14:00:00.000	BZN	RTE BZ	FR	Nuclear 	0.000000	57574.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 17:00:00.000	BZN	RTE BZ	FR	Nuclear 	0.000000	58152.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Biomass 	0.000000	258.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Wind Onshore 	0.000000	4809.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 18:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	0.000000	280.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	0.000000	5291.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 17:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	0.000000	5513.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 17:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	0.000000	5608.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 17:00:00.000	BZN	RTE BZ	FR	Waste 	0.000000	75.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 16:00:00.000	BZN	RTE BZ	FR	Hydro Pumped Storage 	224.000000	0.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 10:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	0.000000	5438.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 12:00:00.000	BZN	RTE BZ	FR	Nuclear 	0.000000	57671.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	0.000000	5088.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 14:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	0.000000	4710.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 15:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	0.000000	1543.000000	2016-01-30 00:29:23.000
2016	1	29	2016-01-29 18:00:00.000	BZN	RTE BZ	FR	Wind Onshore 	0.000000	5507.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 12:00:00.000	BZN	RTE BZ	FR	Waste 	0.000000	84.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Fossil Hard coal 	0.000000	988.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	0.000000	280.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 19:00:00.000	BZN	RTE BZ	FR	Fossil Hard coal 	0.000000	685.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 12:00:00.000	BZN	RTE BZ	FR	Hydro Pumped Storage 	0.000000	424.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 10:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	0.000000	281.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 12:00:00.000	BZN	RTE BZ	FR	Solar 	0.000000	2080.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 10:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	0.000000	5277.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 16:00:00.000	BZN	RTE BZ	FR	Solar 	0.000000	113.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 14:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	0.000000	280.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 17:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	0.000000	280.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 15:00:00.000	BZN	RTE BZ	FR	Biomass 	0.000000	255.000000	2016-01-30 00:29:25.000
2016	1	29	2016-01-29 19:00:00.000	BZN	RTE BZ	FR	Waste 	0.000000	80.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 18:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	0.000000	5465.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Solar 	0.000000	2136.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	0.000000	5083.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 11:00:00.000	BZN	RTE BZ	FR	Waste 	0.000000	84.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 10:00:00.000	BZN	RTE BZ	FR	Nuclear 	0.000000	58308.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 12:00:00.000	BZN	RTE BZ	FR	Wind Onshore 	0.000000	5003.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 15:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	0.000000	5071.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 15:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	0.000000	4784.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 13:00:00.000	BZN	RTE BZ	FR	Nuclear 	0.000000	57298.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 14:00:00.000	BZN	RTE BZ	FR	Solar 	0.000000	1147.000000	2016-01-30 00:29:24.000
2016	1	29	2016-01-29 17:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	0.000000	2370.000000	2016-01-30 00:29:23.000
2016	1	29	2016-01-29 14:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	0.000000	1502.000000	2016-01-30 00:29:23.000
