year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	PowerSystemResourceName	ProductionTypeName	ActualGenerationOutput	ActualConsumption	InstalledGenCapacity	SubmissionTS
2016	1	29	2016-01-29 17:00:00.000	CTA	RTE CA	FR	Croix-de-Metz	Fossil Gas 	412.000000	0.000000	413.00	2016-01-29 18:50:08.000
2016	1	29	2016-01-29 17:00:00.000	CTA	RTE CA	FR	GRAND MAISON 1	Hydro Pumped Storage 	60.000000	0.000000	152.00	2016-01-29 18:50:08.000
2016	1	29	2016-01-29 17:00:00.000	CTA	RTE CA	FR	BUGEY 2	Nuclear 	828.000000	0.000000	910.00	2016-01-29 18:50:08.000
2016	1	29	2016-01-29 17:00:00.000	CTA	RTE CA	FR	CHINON 2	Nuclear 	906.000000	0.000000	905.00	2016-01-29 18:50:08.000
2016	1	29	2016-01-29 17:00:00.000	CTA	RTE CA	FR	CIVAUX 2	Nuclear 	1505.000000	0.000000	1495.00	2016-01-29 18:50:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	ST LAURENT 2	Nuclear 	879.000000	0.000000	915.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	GRAND MAISON 12	Hydro Pumped Storage 	80.000000	0.000000	157.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	EMILE HUCHET 8	Fossil Gas 	0.000000	0.000000	413.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	CHEYLAS 2	Hydro Pumped Storage 	0.000000	0.000000	259.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	PALUEL 3	Nuclear 	1194.000000	0.000000	1330.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	FESSENHEIM 2	Nuclear 	863.000000	0.000000	880.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	BLAYAIS 2	Nuclear 	867.000000	0.000000	910.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	MARTIGUES PONTEAU 5	Fossil Gas 	416.000000	0.000000	465.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 16:00:00.000	CTA	RTE CA	FR	MONTEZIC 1	Hydro Pumped Storage 	0.000000	0.000000	227.00	2016-01-29 17:58:08.000
2016	1	29	2016-01-29 12:00:00.000	CTA	RTE CA	FR	PORCHEVILLE 4	Fossil Oil 	0.000000	0.000000	585.00	2016-01-29 13:55:08.000
2016	1	29	2016-01-29 12:00:00.000	CTA	RTE CA	FR	MONTEZIC 2	Hydro Pumped Storage 	58.000000	0.000000	227.00	2016-01-29 13:55:08.000
2016	1	29	2016-01-29 12:00:00.000	CTA	RTE CA	FR	VAIRES 3	Fossil Oil 	0.000000	0.000000	182.00	2016-01-29 13:55:08.000
2016	1	29	2016-01-29 12:00:00.000	CTA	RTE CA	FR	VAIRES 1	Fossil Oil 	0.000000	0.000000	181.00	2016-01-29 13:55:08.000
2016	1	29	2016-01-29 12:00:00.000	CTA	RTE CA	FR	GRAND MAISON 3	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-29 13:55:08.000
2016	1	29	2016-01-29 12:00:00.000	CTA	RTE CA	FR	BORT 1	Hydro Water Reservoir 	0.000000	0.000000	118.00	2016-01-29 13:55:08.000
2016	1	29	2016-01-29 10:00:00.000	CTA	RTE CA	FR	BROMMAT 7	Hydro Water Reservoir 	0.000000	0.000000	240.00	2016-01-29 12:01:11.000
