year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	AggregatedInstalledCapacity	SubmissionTS
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Hydro Run-of-river and poundage 	10325.50	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Wind Onshore 	1426.00	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Wind Onshore 	1426.00	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	10325.50	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Marine 	240.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Fossil Gas 	6121.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Other 	62.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Nuclear 	63130.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Other 	62.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Fossil Gas 	6121.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Nuclear 	63130.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Marine 	240.00	2016-11-22 10:27:11.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Wind Offshore 	10.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Other 	62.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Hydro Pumped Storage 	4965.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Marine 	240.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Solar 	396.60	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Nuclear 	63130.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Wind Onshore 	1426.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Fossil Hard coal 	2930.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Hydro Water Reservoir 	8204.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Fossil Oil 	6670.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Hydro Run-of-river and poundage 	10325.50	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Fossil Gas 	6121.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTA	RTE CA	FR	Biomass 	170.00	2016-11-22 09:30:12.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Hydro Pumped Storage 	4965.00	2016-11-22 10:27:13.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Fossil Hard coal 	2930.00	2016-11-22 10:27:13.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Wind Offshore 	10.00	2016-11-22 10:27:13.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Fossil Hard coal 	2930.00	2016-11-22 10:27:13.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Hydro Pumped Storage 	4965.00	2016-11-22 10:27:13.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Wind Offshore 	10.00	2016-11-22 10:27:13.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Solar 	396.60	2016-11-22 10:27:10.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Solar 	396.60	2016-11-22 10:27:10.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Hydro Water Reservoir 	8204.00	2016-11-22 10:27:12.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Fossil Oil 	6670.00	2016-11-22 10:27:12.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Biomass 	170.00	2016-11-22 10:27:12.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Biomass 	170.00	2016-11-22 10:27:12.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Hydro Water Reservoir 	8204.00	2016-11-22 10:27:12.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Fossil Oil 	6670.00	2016-11-22 10:27:12.000
